id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,event_duration_minutes,response_lag_minutes,ml_duration_minutes
FKID000016,unplanned,13.063425,77.5933,0.0,0.0,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,others,False,2024-03-07 19:11:15.565000+00:00,,active,yes,2024-03-07 19:16:44.728097+00:00,,,tyear blost,,,Bellary Road 2,high,,,,2024-03-07 19:11:57.171334+00:00,,1,FKUSR00013,FKUSR00001,,,,Kodigehalli,,FKKG000009,,,,,,,,,,,,-0.6934389,5.486051616666667
FKID000017,unplanned,13.0254527,77.6417388,0.0,0.0,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",,others,False,2024-03-07 19:18:29.890000+00:00,,active,yes,2024-03-07 19:28:56.872687+00:00,,,[LOCATION] parked at ring road sir traffic little bit slow sir,,,ORR North 1,high,,,,2024-03-07 19:20:02.091296+00:00,,1,FKUSR00015,FKUSR00001,,,,Hennuru,,FKKG000011,,,,,,,,,,,,-1.5366882666666666,10.44971145
FKID000018,unplanned,12.9233517,77.5904883,0.0,0.0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,tree_fall,False,2024-03-07 19:39:29.764000+00:00,,closed,yes,2024-03-08 00:32:50.465117+00:00,,,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,,,Non-corridor,low,,,,2024-03-07 19:44:04.840279+00:00,,1,FKUSR00016,FKUSR00001,,,,Jayanagara,,FKKG000012,,,,FKUSR00016,2024-03-08 00:32:50.464450+00:00,,,,,,293.3450075,-4.58460465,293.3450075
FKID000019,unplanned,13.0001393,77.5840594,0.0,0.0,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",,vehicle_breakdown,False,2024-01-30 04:49:17.231000+00:00,,closed,yes,2024-01-30 07:35:47.924053+00:00,,,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,ksrtc_bus,FKN00GL0006,Bellary Road 1,high,,,,2024-01-30 04:51:12.899255+00:00,,1,FKUSR00017,FKUSR00001,,,,Sadashivanagar,,FKKG000013,,,,,,,,,,,,-1.92780425,166.51155088333334
FKID000020,unplanned,12.9071221,77.6286395,0.0,0.0,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",,vehicle_breakdown,False,2024-03-07 19:25:04.302000+00:00,,closed,no,2024-03-07 19:52:19.227656+00:00,,,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,FKN00GL0007,Hosur Road,high,,,,2024-03-07 19:27:14.960257+00:00,,1,FKUSR00018,FKUSR00001,,,,Madiwala,,FKKG000014,,,,FKUSR00018,2024-03-07 19:52:19.227138+00:00,,,,,,27.2487523,-2.1776376166666664,27.2487523
FKID000023,unplanned,12.9667047,77.6615983,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,False,2024-01-30 08:32:47.117000+00:00,,active,yes,2024-01-30 08:47:37.169905+00:00,,,A,,,,low,,,,2024-01-30 08:33:47.540206+00:00,,1,FKUSR00020,FKUSR00001,,,,Jeevanbheemanagar,,FKKG000016,,,,,,,,,,,,-1.0070534333333334,14.834215083333333
FKID000024,unplanned,12.8966387,77.7202071,0.0,0.0,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",,water_logging,False,2024-03-07 19:55:24.461000+00:00,,active,yes,2024-03-07 20:06:27.230358+00:00,,,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,,,Non-corridor,low,,,,2024-03-07 19:59:11.246383+00:00,,1,FKUSR00021,FKUSR00001,,,,Whitefield,,FKKG000017,,,,,,,,,,,,-3.7797563833333334,11.046155966666667
FKID000025,unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)","12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,2024-03-07 06:09:19.361000+00:00,,closed,no,2024-03-07 20:12:38.803050+00:00,,,no,,,Non-corridor,low,,,,2024-03-07 06:10:16.176379+00:00,,1,FKUSR00022,FKUSR00001,,,,Wilson Garden,,FKKG000018,,,,FKUSR00022,2024-03-07 20:12:38.802518+00:00,,,,,,843.3240253,-0.9469229833333334,843.3240253
FKID000026,unplanned,12.9856042,77.5977438,0.0,0.0,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,pot_holes,False,2024-01-30 08:35:04.399000+00:00,,active,yes,2024-01-30 08:46:04.959405+00:00,,,Chamber hole,,,,high,,,,2024-01-30 08:35:50.025285+00:00,,1,FKUSR00023,FKUSR00001,,,,Shivajinagar,,FKKG000019,,,,,,,,,,,,-0.7604380833333334,11.009340083333333
FKID000027,unplanned,12.9077383,77.6005709,0.0,0.0,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",,vehicle_breakdown,False,2024-01-30 08:12:47.138000+00:00,,closed,yes,2024-01-30 10:35:47.849552+00:00,,,Bmtc bus offload due to gear box problem,bmtc_bus,FKN00GL0008,Bannerghata Road,high,,,,2024-01-30 08:14:16.420314+00:00,,1,FKUSR00024,FKUSR00001,,,,Mico Layout,,FKKG000020,,,,,,,,,,,,-1.488038566666667,143.0118592
FKID000028,unplanned,12.9635109,77.6642122,0.0,0.0,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",,pot_holes,False,2024-01-30 08:25:57.212000+00:00,,closed,yes,2024-01-30 08:35:01.999200+00:00,,,A,,,,low,,,,2024-01-30 08:28:51.106311+00:00,,1,FKUSR00020,FKUSR00001,,,,HAL Old Airport,,FKKG000016,,,,FKUSR00020,2024-01-30 08:35:01.998607+00:00,,,,,,9.079776783333331,-2.8982385166666664,9.079776783333333
FKID000029,unplanned,12.9667073,77.6615616,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,False,2024-01-30 08:31:37.367000+00:00,,active,yes,2024-01-30 08:33:45.400802+00:00,,,A,,,,low,,,,2024-01-30 08:32:13.484988+00:00,,1,FKUSR00020,FKUSR00001,,,,Jeevanbheemanagar,,FKKG000016,,,,,,,,,,,,-0.6019664666666666,2.1338967
FKID000030,unplanned,12.9666867,77.6616478,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,False,2024-01-30 08:33:55.212000+00:00,,active,yes,2024-01-30 08:47:01.481646+00:00,,,,,,Non-corridor,low,,,,2024-01-30 08:34:48.349991+00:00,,1,FKUSR00020,FKUSR00001,,,,Jeevanbheemanagar,,FKKG000016,,,,,,,,,,,,-0.8856331833333333,13.1044941
FKID000031,unplanned,12.907814,77.6006561,12.9075245,77.6003865,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)","Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,True,2024-01-30 08:08:05.581000+00:00,,closed,yes,2024-01-30 10:35:47.874570+00:00,,,GD mara to [PERSON],bmtc_bus,FKN00GL0009,Bannerghata Road,high,,,,2024-01-30 08:11:01.608180+00:00,,1,FKUSR00024,FKUSR00001,,,,Mico Layout,,FKKG000020,,,,,,,,,,,,-2.933786333333333,147.70489283333333
FKID000032,unplanned,12.8955737,77.5993711,0.0,0.0,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",,vehicle_breakdown,False,2024-01-30 05:43:18.534000+00:00,,closed,yes,2024-01-30 08:35:47.752866+00:00,,,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,lcv,FKN00GL0010,Bannerghata Road,high,,,,2024-01-30 05:44:59.860926+00:00,,1,FKUSR00025,FKUSR00001,,,,J.P. Nagar,,FKKG000021,,,,,,,,,,,,-1.6887821,172.48698109999998
FKID000034,unplanned,13.044697,77.5828546,0.0,0.0,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",,congestion,False,2024-01-30 05:38:15.485000+00:00,,closed,no,2024-01-30 08:35:47.778254+00:00,,,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir,,,ORR North 2,high,,,,2024-01-30 05:39:28.665706+00:00,,1,FKUSR00026,FKUSR00026,,,,Kodigehalli,,FKKG000022,,,,,,,,,,,,-1.2196784333333333,177.5382209
FKID000035,unplanned,12.9666885,77.6616396,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,False,2024-01-30 08:35:57.672000+00:00,,active,yes,2024-01-30 08:44:26.910097+00:00,,,A,,,,low,,,,2024-01-30 08:36:54.308956+00:00,,1,FKUSR00020,FKUSR00001,,,,Jeevanbheemanagar,,FKKG000016,,,,,,,,,,,,-0.9439492666666668,8.487301616666667
FKID000036,unplanned,12.9789228,77.5644032,0.0,0.0,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",,vehicle_breakdown,False,2024-03-07 20:17:50.952000+00:00,,closed,yes,2024-03-07 22:35:48.225065+00:00,,,traffic normal sir.,bmtc_bus,FKN00GL0011,Magadi Road,high,,,,2024-03-07 20:19:21.251912+00:00,,1,FKUSR00027,FKUSR00001,,,,Magadi Road,,FKKG000023,,,,,,,,,,,,-1.504998533333333,137.9545510833333
FKID000037,unplanned,12.8636494,77.6725849,,,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",,accident,False,2024-01-30 03:52:59.126038+00:00,,closed,yes,2024-01-30 09:35:47.939277+00:00,,,,,,Non-corridor,low,,,,2024-01-30 08:53:47.147922+00:00,,1,FKUSR00028,FKUSR00028,FKUSR00028,FKUSR00029,,Electronic City,,,,,,,,,,,,,,-300.80036473333337,342.8135539833333
FKID000038,unplanned,12.9219483,77.6002467,0.0,0.0,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",,vehicle_breakdown,False,2024-01-30 15:15:10.139000+00:00,,closed,yes,2024-01-30 17:35:48.089355+00:00,,,One garage vehical stopped on road due to break down,heavy_vehicle,FKN00GL0012,Bannerghata Road,high,,,,2024-01-30 15:18:28.719881+00:00,,1,FKUSR00030,FKUSR00001,,,,Mico Layout,,FKKG000024,,,,,,,,,,,,-3.30968135,140.63250591666667
FKID000039,unplanned,12.9666597,77.661556,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,False,2024-01-30 08:37:16.322000+00:00,2024-01-30 05:38:46+00:00,active,yes,2024-01-30 08:43:58.647514+00:00,,,Pc18977,,,,low,,,,2024-01-30 08:40:15.935486+00:00,,1,FKUSR00020,FKUSR00001,,,,Jeevanbheemanagar,,FKKG000016,,,,,,,,,,,,-2.9935581,6.705425233333333
FKID000040,planned,12.946469,77.6986754,0.0,0.0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-01-30 11:31:12.848000+00:00,2024-01-30 11:31:46+00:00,closed,no,2024-01-30 11:35:47.865142+00:00,,,[LOCATION] works going on sir,,,ORR East 1,high,,,,2024-01-30 11:32:15.765069+00:00,,1,FKUSR00031,FKUSR00031,,,,HAL Old Airport,,FKKG000025,,,,,,,,,,,,-1.0486178166666666,4.583619033333333
FKID000041,unplanned,12.9936273,77.5844677,12.9934867,77.584375,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,2024-03-07 20:20:31.140000+00:00,,closed,yes,2024-03-07 22:06:56.289580+00:00,,,Near cm office [PERSON] towards B02 junction sir,,,Bellary Road 1,high,,,,2024-03-07 20:23:59.617800+00:00,,1,FKUSR00032,FKUSR00001,,,,High ground,,FKKG000026,,,,FKUSR00032,2024-03-07 22:06:56.289070+00:00,,,,,,106.41915116666668,-3.47463,106.41915116666668
FKID000042,unplanned,12.9465079,77.6986339,0.0,0.0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",,vehicle_breakdown,False,2024-01-30 20:38:19.329000+00:00,,closed,yes,2024-01-30 23:35:47.648175+00:00,,,Biriyani zone [PERSON] on [LOCATION] off road,bmtc_bus,FKN00GL0013,ORR East 1,high,,,,2024-01-30 20:40:06.042986+00:00,,1,FKUSR00033,FKUSR00001,,,,HAL Old Airport,,FKKG000027,,,,,,,,,,,,-1.7785664333333335,177.47198625000001
FKID000043,unplanned,13.0467058,77.5036495,0.0,0.0,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",,vehicle_breakdown,False,2024-03-07 18:29:50.857000+00:00,,closed,yes,2024-03-07 20:35:47.751423+00:00,,,,lcv,FKN00GL0014,Non-corridor,low,,,,2024-03-07 18:31:53.902977+00:00,,1,FKUSR00034,FKUSR00001,,,,Chikkabanavara,,FKKG000028,,,,,,,,,,,,-2.050766283333333,125.94824038333333
FKID000045,planned,13.0085677,77.6131497,13.0085507,77.6131283,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)","Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303000+00:00,2024-01-30 21:20:46+00:00,closed,yes,2024-01-30 21:35:48.130423+00:00,,,,,,Non-corridor,low,,,,2024-01-30 21:21:41.722681+00:00,,1,FKUSR00036,FKUSR00001,,,,K.G. Halli,,FKKG000030,,,,,,,,,,,,-0.52366135,14.630457049999999
FKID000046,unplanned,13.0309717,77.5364661,0.0,0.0,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",,vehicle_breakdown,False,2024-01-30 19:33:25.417000+00:00,,closed,yes,2024-01-30 21:35:48.087938+00:00,,,Cmti jn incoming [LOCATION] LGv ವೆಹಿಕಲ್ ಕಮಾನ್ ಪಾಟ್ ಕಟ್ ಆಗಿದೆ ಸರ್,lcv,FKN00GL0016,Tumkur Road,high,,,,2024-01-30 19:35:20.337586+00:00,,1,FKUSR00037,FKUSR00001,,,,Yeshwanthpura,,FKKG000031,,,,,,,,,,,,-1.9153431,122.37784896666668
FKID000047,unplanned,13.0262806,77.5442344,0.0,0.0,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",,others,False,2024-03-07 20:27:15.443000+00:00,,closed,yes,2024-03-07 22:40:47.233521+00:00,,,mei signal off due to power Problem,,,Tumkur Road,high,,,,2024-03-07 20:29:28.845390+00:00,,1,FKUSR00038,FKUSR00001,,,,Yeshwanthpura,,FKKG000032,,,,FKUSR00038,2024-03-07 22:40:47.232952+00:00,,,,,,133.52983253333335,-2.2233731666666667,133.52983253333335
FKID000048,unplanned,12.9938639,77.5844374,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,tree_fall,False,2024-03-07 20:41:41.999000+00:00,,closed,yes,2024-03-09 03:11:00.033099+00:00,,,,,,Bellary Road 1,high,,,,2024-03-07 20:42:35.482807+00:00,,1,FKUSR00039,FKUSR00001,,,,High ground,,FKKG000033,,,,FKUSR00039,2024-03-09 03:11:00.032388+00:00,,,,,,1829.3005564666664,-0.8913967833333333,1829.3005564666666
FKID000049,unplanned,12.9188682,77.6687736,0.0,0.0,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,False,2024-01-30 21:27:52.454000+00:00,,closed,yes,2024-01-30 22:23:24.958236+00:00,,,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,FKN00GL0017,ORR East 1,high,,,,2024-01-30 21:29:36.526728+00:00,,1,FKUSR00040,FKUSR00001,,,,Bellandur,,FKKG000034,,,,FKUSR00040,2024-01-30 22:23:24.957711+00:00,,,,,,55.541728516666666,-1.7345454666666666,55.541728516666666
FKID000050,unplanned,12.9546127,77.6423399,0.0,0.0,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",,congestion,False,2024-01-30 20:46:34.356000+00:00,,closed,no,2024-01-30 23:35:47.661741+00:00,,,,,,IRR(Thanisandra road),high,,,,2024-01-30 20:46:56.603762+00:00,,1,FKUSR00041,FKUSR00041,,,,Jeevanbheemanagar,,FKKG000035,,,,,,,,,,,,-0.3707960333333334,169.22176235
FKID000051,unplanned,12.936133,77.5187044,0.0,0.0,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",,vehicle_breakdown,False,2024-01-30 21:13:55.445000+00:00,,closed,yes,2024-01-30 23:35:47.674176+00:00,,,,lcv,FKN00GL0018,Mysore Road,high,,,,2024-01-30 21:16:43.603052+00:00,,1,FKUSR00042,FKUSR00001,,,,Byatarayanapura,,FKKG000036,,,,,,,,,,,,-2.8026342,141.8704862666667
FKID000052,planned,12.9694079,77.7006346,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-01-30 20:56:01.732000+00:00,2024-01-31 09:05:46+00:00,closed,yes,2024-01-31 09:35:47.797656+00:00,,,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,,,ORR East 2,high,,,,2024-01-30 20:56:43.100304+00:00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,,,-0.6894717333333333,759.7677609333333
FKID000053,unplanned,12.9849833,77.5883633,0.0,0.0,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,vehicle_breakdown,False,2024-01-30 21:47:40.463000+00:00,,closed,yes,2024-01-30 22:57:00.256145+00:00,,,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,FKN00GL0019,Bellary Road 1,high,,,,2024-01-30 21:51:46.251707+00:00,,1,FKUSR00044,FKUSR00001,,,,High ground,,FKKG000038,,,,FKUSR00044,2024-01-30 22:57:00.255562+00:00,,,,,,69.32987603333332,-4.09647845,69.32987603333332
FKID000054,unplanned,13.0127301,77.5545135,0.0,0.0,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",,vehicle_breakdown,False,2024-03-07 20:42:57.607000+00:00,,closed,yes,2024-03-07 23:35:48.209463+00:00,,,,truck,FKN00GL0020,West of Chord Road,high,goods,clutch plate problem,2021.0,2024-03-07 20:45:17.862935+00:00,,1,FKUSR00045,FKUSR00001,,,,Malleshwaram,,FKKG000039,,,,,,,,,,,,-2.3375989166666664,172.84337438333333
FKID000055,unplanned,12.9842019,77.7336286,0.0,0.0,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,road_conditions,False,2024-01-30 21:54:56.083000+00:00,,closed,yes,2024-01-30 22:56:12.701767+00:00,,,,,,Non-corridor,low,,,,2024-01-30 21:55:49.646644+00:00,,1,FKUSR00046,FKUSR00001,,,,Whitefield,,FKKG000040,,,,FKUSR00046,2024-01-30 22:56:12.701247+00:00,,,,,,61.27697078333333,-0.8927274,61.27697078333333
